seq_name	length	cov.	circ.	repeat	mult.	graph_path
contig_1	13226	30	-	-	1	-681,430,-731,1
contig_2	157632	22	-	-	1	712,-653,-628,192,-733,-666,-653,-218,2,464,-520
contig_3	77944	26	-	-	1	3,-446,-529,-576
contig_4	58075	13	-	-	1	-731,4
contig_5	53575	28	-	-	1	5,-658
contig_6	210385	26	-	-	1	*,181,279,646,834,6
contig_7	39742	12	-	-	1	-169,7,-227,-865,-468
contig_8	18955	17	-	-	1	-497,764,8,796
contig_9	18322	4	-	-	1	-757,691,-357,520,-464,-510,415,-519,-609,9,225
contig_10	38333	26	-	-	1	-649,10,387,185
contig_11	24550	22	-	-	1	677,11,*
contig_12	29165	16	-	-	1	446,837,322,-154,-376,576,12,731,-430,681
contig_13	51437	26	-	-	1	-792,13,-248
contig_14	13167	5	-	-	1	-71,14,844
contig_15	150670	17	-	-	1	15,164
contig_16	103286	25	-	-	1	-158,351,16,-867,369,661,-267
contig_17	57508	38	-	-	1	-262,-346,17
contig_18	8064	4	-	-	1	18,572
contig_19	107828	27	-	-	1	-810,619,19,-707,718
contig_20	43853	23	-	-	1	356,20,719,431,-702
contig_21	9829	14	-	-	1	-800,-467,21
contig_22	16030	16	-	-	1	774,22
contig_23	18216	17	-	-	1	-165,23,595,-851,-717,-717,350
contig_24	194411	22	-	-	1	-213,327,24,-380,212
contig_25	93637	31	-	-	1	860,-871,-830,-830,-669,25
contig_26	51873	16	-	-	1	-678,-802,-802,26,287,-255
contig_27	32735	9	-	-	1	468,865,865,865,27,-822
contig_28	87357	23	-	-	1	28,519
contig_29	116793	21	-	-	1	-679,-772,-772,-698,693,29,-606
contig_30	219611	31	-	-	1	-341,30,-494
contig_31	128381	26	-	-	1	477,-833,575,-558,31,270
contig_32	95640	14	-	-	1	*,32,802,802,678
contig_33	65455	12	-	-	1	-164,-613,-708,33,-412
contig_34	10774	7	-	-	1	560,34,844
contig_35	104079	29	-	-	1	-265,-652,35
contig_36	117010	31	-	-	1	-787,36,-256
contig_37	13042	12	-	-	1	37
contig_38	43704	19	-	-	1	38,-191
contig_39	95795	23	-	-	1	-649,-589,39
contig_40	11801	13	-	-	1	40,-702,423
contig_41	266653	27	-	-	1	*,41,-805
contig_42	59542	26	-	-	1	42,-805,741
contig_43	182884	18	-	-	1	-222,43,224
contig_44	26466	9	-	-	1	-818,44,-801,-761,642
contig_45	259328	33	-	-	1	-866,45
contig_46	119403	33	-	-	1	46
contig_47	15988	13	-	-	1	47,-635,-635,-682,-682
contig_48	122748	20	-	-	1	189,-443,412,48,581,448
contig_49	132386	25	-	-	1	49,-191
contig_50	51551	11	-	-	1	50,-865,-865,-468
contig_51	170572	25	-	-	1	691,691,-357,-565,51
contig_52	12721	7	-	-	1	682,682,635,635,52
contig_53	22441	24	-	-	1	-348,-546,807,-458,53,-365,347
contig_54	13435	22	-	-	1	367,-799,-740,778,54,498
contig_55	104720	24	-	-	1	-252,55
contig_56	6728	16	-	-	1	56
contig_57	89390	24	-	-	1	356,-518,399,521,57,-276,-588,288
contig_58	38814	28	-	-	1	318,58
contig_59	12513	11	-	-	1	-225,59,245
contig_60	314414	33	-	-	1	-787,-680,60
contig_61	15774	15	+	-	1	61
contig_62	41732	12	-	-	1	660,62,403,586
contig_63	31996	11	-	-	1	-213,327,63
contig_64	28696	25	-	-	1	64
contig_65	165772	31	-	-	1	860,-871,-830,-830,-704,-669,419,65,-580,-655,239
contig_66	20621	16	-	-	1	66,*
contig_67	81804	25	-	-	1	67,-430,681
contig_68	197501	30	-	-	1	68,-199
contig_69	107934	36	-	-	1	69,234
contig_70	130385	31	-	-	1	854,230,70,186
contig_72	24637	28	-	-	1	72
contig_73	7976	25	-	-	1	-350,717,717,851,825,73
contig_74	150604	25	-	-	1	74,705,175
contig_75	39195	24	-	-	1	75
contig_76	29133	20	-	-	1	76,-327
contig_77	43994	17	-	-	1	-368,77
contig_78	4694	7	-	-	1	259,78
contig_79	57201	25	-	-	1	255,-287,79,-198
contig_80	142174	32	-	-	1	-241,80,-473,-575
contig_81	45876	32	-	-	1	-800,-467,81
contig_82	114043	28	-	-	1	547,-578,82,-638
contig_83	151791	30	-	-	1	163,83,504
contig_84	51226	26	-	-	1	84
contig_85	111542	25	-	-	1	570,85,271
contig_86	77667	40	-	-	1	*,86
contig_87	79076	37	-	-	1	87,-549,627,840,730,-693
contig_88	73935	24	-	-	1	-180,88,-484,600,-725,686
contig_89	46923	27	-	-	1	89,236
contig_90	29282	22	-	-	1	90
contig_91	67392	30	-	-	1	91,-349,-569
contig_92	208224	27	-	-	1	-478,370,-585,92,-342
contig_93	73775	34	-	-	1	-666,712,93,595,-851,-717,-717,-717,350
contig_94	173583	42	-	-	1	322,-154,591,513,94,183
contig_95	77963	28	-	-	1	-212,95,-576,-837
contig_96	140848	25	-	-	1	-832,-832,-832,496,435,-472,96,572
contig_97	18146	34	-	-	1	-448,97,217,-859
contig_98	37887	23	-	-	1	486,98
contig_99	118599	19	-	-	1	99,-227
contig_100	105938	24	-	-	1	-872,-872,-345,100
contig_101	65938	22	-	-	1	230,574,101,753,487
contig_102	20673	31	-	-	1	102
contig_103	194526	26	-	-	1	623,103,169
contig_104	83465	30	-	-	1	610,-788,104
contig_105	160883	28	-	-	1	105
contig_106	193152	28	-	-	1	-781,396,106,155,231,426
contig_107	117063	27	-	-	1	-200,-583,107,-829,206
contig_108	54687	40	-	-	1	-754,694,108,-694,754,235
contig_109	152618	30	-	-	1	109,-277
contig_110	121555	23	-	-	1	608,-663,596,-397,490,409,-858,110,-412,-776,163
contig_111	53451	21	-	-	1	468,865,865,111,161,847,-590
contig_112	18355	21	-	-	1	300,310,112
contig_113	84004	24	-	-	1	113,-820
contig_114	22108	13	-	-	1	672,306,114,308,-813
contig_115	188873	29	-	-	1	269,-195,115,442,629,442
contig_116	23117	29	-	-	1	116,535
contig_117	10992	13	-	-	1	117
contig_118	49316	18	-	-	1	319,118,-524,-841
contig_119	16053	12	-	-	1	119,417,784,-811,811,-784
contig_120	29250	28	-	-	1	-661,-661,-369,120,-697,413
contig_121	23589	40	-	-	1	-681,430,121,703,-827,-827
contig_122	98603	21	-	-	1	-453,695,122,220
contig_123	27158	18	-	-	1	123,464,450,422
contig_124	229202	20	-	-	1	569,124,-258
contig_125	45534	29	-	-	1	125,384,-446,-529,-576,376,154,-322,-837
contig_126	135534	17	-	-	1	-219,126,-760,-394,-394,-394
contig_127	36560	24	-	-	1	127,-211,432
contig_128	14084	17	-	-	1	638,-779,128
contig_129	41656	23	-	-	1	-443,682,682,635,635,129,-749,609,519,-416,794
contig_130	33311	14	-	-	1	207,130,-532,-590
contig_131	36131	12	-	-	1	131,258
contig_132	22519	23	-	-	1	132,-712
contig_133	27804	15	-	-	1	*,133
contig_134	54289	22	-	-	1	-661,-661,-369,867,-661,-369,134,-251
contig_135	35981	18	-	-	1	135,218,653,666,733,-192,628,653
contig_136	87738	24	-	-	1	-187,136,-430
contig_137	22634	20	-	-	1	356,137
contig_138	77208	34	-	-	1	774,138,-774
contig_139	41595	18	-	-	1	-183,528,763,410,139,447
contig_140	25214	8	-	-	1	140,239,-490
contig_141	34222	18	-	-	1	-232,-504,-847,141,-509,-174
contig_142	123110	35	-	-	1	356,356,-611,142
contig_143	48972	38	-	-	1	143
contig_144	20918	40	-	-	1	323,587,-555,543,-249,526,526,710,-284,-290,144
contig_145	100148	32	-	-	1	449,374,145,353,-425
contig_146	90283	24	-	-	1	190,146,-248
contig_147	29601	18	-	-	1	147
contig_148	4843	10	-	-	1	148
contig_149	8346	17	-	-	1	149
contig_150	28847	20	-	-	1	150,499
contig_151	9517	33	-	-	1	151,383
contig_152	30297	17	-	-	1	-157,-700,-718,707,152,204
contig_153	3949	6	-	-	1	-459,153
contig_156	12017	6	-	-	1	-202,650,362,456,156
contig_159	3275	7	-	-	1	736,159
contig_160	2522	33	-	+	3	160
contig_166	11716	8	-	-	1	-418,-418,-397,166,*
contig_167	57549	30	-	-	1	167,-274,-273
contig_168	77895	31	-	-	1	168,263
contig_170	20260	14	-	-	1	170,-181,*
contig_172	20963	14	-	-	1	573,560,-621,172,-774
contig_176	64663	30	-	-	1	176
contig_177	4611	4	-	+	2	177
contig_182	25142	22	-	+	1	182
contig_184	63025	25	-	-	1	184,-805,-855
contig_188	14299	12	-	-	1	520,-464,196,188
contig_193	33236	21	-	-	1	193,-362,-650,222
contig_197	3217	19	-	-	1	197
contig_201	20560	11	-	-	1	275,201,464,450,-400
contig_205	2121	21	-	+	3	205
contig_208	53069	41	-	-	1	-261,208,611,-356,-356
contig_209	17584	21	-	-	1	-718,707,209,727,383,383
contig_210	8907	14	-	-	1	283,210,364
contig_214	2448	59	-	+	2	214
contig_215	83031	31	-	-	1	215,-255,-584
contig_216	57948	36	-	-	1	216,-793
contig_221	68235	34	-	-	1	-667,221,815
contig_223	4631	86	-	+	2	223
contig_226	9734	72	-	+	2	226
contig_228	10253	32	-	+	1	228
contig_237	1172	31	-	+	1	237
contig_238	18603	41	-	+	1	238
contig_240	9794	12	-	-	1	240
contig_243	75206	35	-	-	1	-202,243
contig_244	6009	28	-	-	1	244
contig_247	35538	14	-	-	1	190,247,203
contig_250	6021	2	-	-	1	774,250
contig_253	13802	12	-	-	1	253,664
contig_254	18120	12	-	-	1	-453,695,254
contig_264	52579	29	-	-	1	449,374,405,264,-420
contig_266	1893	25	-	+	2	266
contig_268	116714	32	-	-	1	242,268,-777,-480
contig_272	6838	14	-	-	1	-450,-464,272,171
contig_278	4017	19	-	-	1	278
contig_280	9036	11	-	-	1	-418,-418,-397,-397,750,280,-867,369,661
contig_281	25922	4	-	-	1	281,287,-255
contig_282	8757	12	-	-	1	282,-260
contig_285	5419	9	-	-	1	*,285
contig_286	12167	8	-	-	1	820,286,439,852
contig_291	890	5	-	+	2	291
contig_293	10124	69	-	-	1	-661,-369,867,-173,293,345,872
contig_295	1282	5	-	-	1	295
contig_296	826	1	-	+	1	296
contig_297	561	0	-	-	1	297
contig_298	1819	40	-	-	1	298
contig_299	797	1	-	+	3	299
contig_301	11830	26	-	-	1	-515,385,301
contig_302	7386	7	-	-	1	302,-451,-660
contig_304	6367	8	-	-	1	-809,-246,304
contig_305	795	2	-	-	1	305
contig_307	1832	0	-	-	1	-810,-810,-810,-810,619,307,-693
contig_309	5321	5	-	-	1	-873,309,408,-544
contig_311	7292	11	-	-	1	311,500,-409,-490,397,397,418,418,418
contig_312	2086	42	-	+	2	312
contig_313	2225	6	-	-	1	313
contig_314	1553	66	-	+	2	314
contig_315	6453	3	-	-	1	662,315,383,383,-433,-433
contig_316	406	1	-	+	1	316
contig_317	14684	3	-	-	1	729,317,-760,-394,-394,-561,402,338
contig_320	13653	16	-	-	1	484,320
contig_321	2384	5	-	-	1	-383,-383,321,-745,-610
contig_325	2493	110	-	-	1	325
contig_326	22307	5	-	-	1	-258,326
contig_328	2248	10	-	+	1	328
contig_329	3007	1	-	-	1	329,464,450
contig_330	4820	8	-	-	1	330,-410
contig_332	4983	6	-	-	1	332
contig_333	734	24	-	+	1	333
contig_334	6680	31	-	-	1	-586,334,-412,-776,-696
contig_335	1305	6	-	+	1	335
contig_339	434	1	-	+	1	339
contig_343	781	5	-	+	3	343
contig_355	551	87	-	-	1	355
contig_358	1933	4	-	+	2	358
contig_359	18645	14	-	-	1	359,464,450,178
contig_360	16605	12	-	-	1	-162,-429,372,-661,-369,867,360
contig_361	556	6	-	+	1	361
contig_363	1457	27	-	+	2	363
contig_366	4994	8	-	-	1	411,-413,697,366
contig_371	591	35	-	+	4	371
contig_377	1369	4	-	-	1	-324,377
contig_378	16818	25	-	-	1	-213,378
contig_379	587	13	-	+	5	379
contig_386	915	15	-	+	7	386
contig_388	1539	58	-	+	2	388
contig_390	949	25	-	+	5	390
contig_393	3243	200	-	-	1	393,464,450
contig_395	10183	3	-	-	1	395,-592
contig_398	459	0	-	+	2	398
contig_401	1443	143	-	+	4	401
contig_406	13786	18	-	-	1	-194,406
contig_407	6089	16	-	-	1	407,-327,-588,288
contig_421	6399	42	-	+	2	421
contig_424	13247	10	-	-	1	-392,790,566,424,231,426
contig_427	635	45	-	+	1	427
contig_434	2032	14	-	+	1	434
contig_436	14916	34	-	-	2	*,711,436,-659,557
contig_437	3528	80	-	+	2	437
contig_438	5259	11	-	-	1	438,-660
contig_440	2390	114	-	+	4	440
contig_441	3293	4	-	+	5	441
contig_444	2263	24	-	-	1	444
contig_445	11653	13	-	-	1	-162,-429,372,445
contig_452	10737	21	-	-	1	452,-635,-635,-682,-682
contig_454	2073	5	-	-	1	*,454,*
contig_455	12155	16	-	-	1	662,455,688
contig_457	7631	13	-	-	1	457
contig_460	31537	23	-	-	1	-219,460,685
contig_461	611	2	-	-	1	*,461
contig_462	1826	70	-	+	2	462
contig_463	1900	42	-	+	1	463
contig_465	324	0	-	-	1	465
contig_469	12431	14	-	-	1	469,755
contig_471	724	10	-	+	1	471
contig_474	4292	13	-	-	1	474
contig_475	1439	88	-	+	2	475
contig_476	7978	9	-	-	1	721,476,516,-651
contig_479	1684	10	-	+	1	479
contig_481	692	11	-	+	2	481
contig_482	8229	40	-	+	2	482
contig_483	2918	7	-	-	1	-718,707,483
contig_485	3304	77	-	+	3	485
contig_488	1613	142	-	+	6	488
contig_489	25368	13	-	-	1	179,489
contig_493	19154	57	-	+	2	493
contig_495	1072	69	-	+	2	495
