seq_name	length	cov.	circ.	repeat	mult.	graph_path
contig_1	65562	36	-	-	1	-803,-799,-310,-424,-873,-225,-272,1,459,459,-264,550
contig_2	78885	23	-	-	1	2
contig_3	119928	22	-	-	1	-691,493,493,493,3,620
contig_4	131937	31	-	-	1	167,732,736,735,736,736,736,4,551,862,862,223,404,404
contig_5	51843	8	-	-	1	-884,-860,5,-619
contig_6	14663	11	-	-	1	-696,6,-616,-406,757
contig_7	456221	28	-	-	1	522,7,282,270,-419,-614,-614,802,349,-670,282,270,-594
contig_8	87566	27	-	-	1	8,677
contig_9	65794	16	-	-	1	406,9,-229
contig_10	32028	9	-	-	1	-602,-337,-584,-741,-741,744,744,-708,10
contig_11	216615	32	-	-	1	-775,11
contig_12	27725	21	-	-	1	-447,-764,559,-268,267,12,202,-831
contig_13	49952	15	-	-	1	761,13,-159,-369,396,666
contig_14	9100	9	-	-	1	-662,14
contig_15	23867	12	-	-	1	-821,-693,15,-845,-845,643,882,882
contig_16	56613	26	-	-	1	16,649
contig_17	20679	23	-	-	1	*,17
contig_18	40603	58	-	-	1	-862,18
contig_19	93379	23	-	-	1	19
contig_20	167246	25	-	-	1	343,342,405,20,293,293,569,359,263
contig_21	25276	15	-	-	1	-560,-465,861,543,21,745,745,-472,518
contig_22	52987	57	-	-	2	-242,-658,-205,-373,-373,-373,22
contig_23	9993	5	-	-	1	876,23,327
contig_24	14987	13	-	-	1	24
contig_25	15759	19	+	-	1	25
contig_26	47192	43	-	-	1	26,572,572,466,466,466,800,-498,615,466
contig_27	57686	29	-	-	1	645,-621,27,-537,-537,877
contig_28	74009	20	-	-	1	28,-390,610,156,-698
contig_29	66207	27	-	-	1	29,-185
contig_30	77577	26	-	-	1	30,-575,360,-158
contig_31	47859	11	-	-	1	236,706,31,-849,-575
contig_32	11042	5	-	-	1	32,-430
contig_33	172294	24	-	-	1	-871,421,33
contig_34	17021	42	-	-	1	619,34,-657,826,826,-710
contig_35	259839	34	-	-	1	-514,35,792,-397,-397,886
contig_36	15270	22	-	-	1	-422,423,36,338,-678
contig_37	33477	22	-	-	1	37,602
contig_38	67072	16	-	-	1	-223,-862,-862,-622,38
contig_39	48488	40	-	-	1	853,461,783,39,658,658,-810,-226,284,542
contig_40	330487	35	-	-	1	-813,-532,40,771
contig_41	75239	37	-	-	1	-800,-622,554,-285,41
contig_42	97570	26	-	-	1	325,-328,-248,265,-549,-855,-651,574,574,42
contig_43	31954	16	-	-	1	-886,397,397,43
contig_44	57424	18	-	-	1	-249,-811,44,-587,384,-592
contig_45	51497	25	-	-	1	410,45,-539
contig_46	33190	25	-	-	1	146,744,46
contig_47	10190	6	-	-	1	47,-541,602
contig_48	9740	55	-	-	1	547,48
contig_49	121918	21	-	-	1	-149,49,529,529
contig_50	15842	36	-	-	1	-762,50
contig_51	24404	15	-	-	1	51
contig_52	43005	21	-	-	1	-623,52,434
contig_53	10247	12	-	-	1	-513,53,-159,-369
contig_54	33166	26	-	-	1	54
contig_55	269408	28	-	-	1	180,733,55,-160
contig_56	37179	15	-	-	1	56
contig_57	18442	12	-	-	1	697,57,884,-512,656
contig_58	118379	24	-	-	1	-542,-284,58,468,-624,-714
contig_59	35522	34	-	-	1	59,309,443
contig_60	12252	1	-	-	1	484,-348,60,*
contig_61	191504	28	-	-	1	782,687,759,61
contig_62	161145	27	-	-	1	*,329,62,-840
contig_64	37202	31	-	-	1	-800,-800,-622,-622,64
contig_65	47445	18	-	-	1	65,126
contig_66	128204	33	-	-	1	66
contig_67	221582	32	-	-	1	154,67,-304,256
contig_68	130096	26	-	-	1	68,-397,-397,886
contig_69	209006	22	-	-	1	237,69,718,150,150
contig_70	120052	32	-	-	1	232,70,-503,-273
contig_71	145213	24	-	-	1	441,-221,-567,-567,231,71,688,797,-500
contig_72	36332	22	-	-	1	-404,-223,-862,72
contig_73	68767	28	-	-	1	73
contig_74	149967	34	-	-	1	341,-681,74,771,156,-698
contig_75	119704	27	-	-	1	75,-753
contig_76	79045	31	-	-	1	-213,76
contig_77	80862	36	-	-	1	77,170
contig_78	77406	19	-	-	1	619,78,718,718,718
contig_79	43864	17	-	-	1	*,79,-413
contig_80	240236	29	-	-	1	80,179
contig_81	88254	32	-	-	1	*,81
contig_82	114001	28	-	-	1	787,842,82
contig_83	67932	30	-	-	1	175,-184,-202,83
contig_84	201495	33	-	-	1	-410,84,844
contig_85	240199	31	-	-	1	399,-762,386,-800,-800,-800,-622,85
contig_86	68225	29	-	-	1	431,86,-545,-682,-837,-408
contig_87	10384	24	-	-	1	-792,87
contig_88	95818	27	-	-	1	575,88,457,659,-186,202
contig_89	236534	28	-	-	1	-245,-202,89
contig_90	131535	27	-	-	1	-330,90,251
contig_91	170646	29	-	-	1	-534,-879,-879,-879,-469,91,-408
contig_92	20334	20	-	-	1	92,884,-512,656
contig_93	57519	24	-	-	1	168,93,573,-616
contig_94	80808	25	-	-	1	-634,94
contig_95	65411	27	-	-	1	95,-336,155
contig_96	27489	13	-	-	1	*,96,-504,-856
contig_97	70715	16	-	-	1	183,97,-161,365
contig_98	141009	29	-	-	1	-238,98,811,249,615
contig_99	57901	32	-	-	1	99,-461,-461,-853
contig_100	41607	23	-	-	1	100
contig_101	211270	35	-	-	1	178,-702,-562,417,101,-247,-332
contig_102	69459	40	-	-	1	102
contig_103	98789	15	-	-	1	-188,103
contig_104	145458	25	-	-	1	-425,104,152,-849,-575
contig_105	90355	29	-	-	1	-552,105
contig_106	57761	32	-	-	1	106,474
contig_107	46509	33	-	-	1	107
contig_108	65179	30	-	-	1	-150,108,-866,839,-452,-433
contig_109	52937	19	-	-	1	363,109
contig_110	99715	28	-	-	1	665,110,-493,-493,-493,691
contig_111	77879	23	-	-	1	111
contig_112	92229	31	-	-	1	315,112,-303
contig_113	89639	15	-	-	1	243,113,608,-163
contig_115	13408	20	-	-	1	-147,-581,-446,705,115,149
contig_116	41442	31	-	-	1	380,-530,211,116
contig_117	27573	12	-	-	1	-677,-691,493,493,493,117,884,-512,-512,656,860,860,860,857,841,686,686
contig_118	73700	30	-	-	1	118,-559,447
contig_119	70878	24	-	-	1	-496,119
contig_120	126356	37	-	-	1	-737,120,422
contig_121	19906	40	-	-	1	121,*
contig_122	21657	11	-	-	1	-886,397,397,122,246
contig_123	82727	34	-	-	1	164,123,659,-407,847,872
contig_124	27774	17	-	-	1	-249,-811,124,792
contig_125	62825	20	-	-	1	-422,423,125
contig_127	81930	23	-	-	1	127,600,863,762
contig_128	81130	26	-	-	1	-197,533,128,535,-166
contig_129	41905	13	-	-	1	671,129,-368,-368,-368
contig_130	32416	15	-	-	1	130,-597
contig_131	97001	32	-	-	1	492,492,131,-461,-853
contig_132	8461	30	-	-	1	132
contig_133	22147	46	-	-	1	-377,133,-194
contig_134	116548	29	-	-	1	188,134
contig_135	124738	36	-	-	1	-883,135,220
contig_136	96930	37	-	-	1	481,136
